ID,Date,Variety,Ripe,Part-ripe,Unripe,Flower,Fruit-width,Fruit-height,Mass,Yield/plant,Crop-composition,Plant-height,ExG
AA11,20250506,Falco,0,0,10,5,[],[],[],0.0,0.0,221.0,37.21189960736204
AA11,20250516,Falco,0,0,19,0,[],[],[],0.0,0.0,319.0,37.27915861776224
AA11,20250518,Falco,0,0,20,4,[],[],[],0.0,0.0,349.0,35.80255381844853
AA11,20250520,Falco,1,0,9,3,[59.0],[55.0],[109267.70790456783],109267.70790456784,0.0769230769230769,367.0,37.359857041069446
AA11,20250522,Falco,0,0,10,0,[],[],[],0.0,0.0,407.0,33.60516404162021
AA11,20250524,Falco,0,1,7,0,[],[],[],0.0,0.0,394.0,30.216718357766204
AA11,20250526,Falco,0,1,5,0,[],[],[],0.0,0.0,320.0,30.62267869221208
AA11,20250528,Falco,0,1,3,0,[],[],[],0.0,0.0,748.0,48.45421903368248
AA11,20250601,Falco,1,1,0,0,[59.0],[62.0],[123174.5070924219],123174.5070924219,0.5,717.0,34.353897316826064
AA11,20250607,Falco,0,0,0,0,[],[],[],0.0,,838.0,52.098635890253504
AA11,20250609,Falco,0,0,0,0,[],[],[],0.0,,809.0,44.36862050517029
AA11,20250611,Falco,2,0,0,0,"[48.0, 40.0]","[48.0, 51.0]","[63117.361012154106, 46570.969496815094]",109688.3305089692,1.0,850.0,57.41522283124101
AA11,20250615,Falco,0,0,0,0,[],[],[],0.0,,871.0,51.80818060712106
AA11,20250617,Falco,0,0,0,0,[],[],[],0.0,,864.0,48.778898647169264
AA11,20250618,Falco,0,0,0,0,[],[],[],0.0,,855.0,43.8732729039921
AA11,20250620,Falco,0,0,0,0,[],[],[],0.0,,938.0,54.4795441425288
AA11,20250625,Falco,0,0,0,0,[],[],[],0.0,,906.0,51.43797996699363
AA13,20250506,Falco,0,0,0,1,[],[],[],0.0,0.0,183.0,48.86457545838828
AA13,20250516,Falco,0,0,2,6,[],[],[],0.0,0.0,303.0,38.86462443757726
AA13,20250518,Falco,0,0,6,5,[],[],[],0.0,0.0,325.0,35.41819648789934
AA13,20250520,Falco,0,0,8,7,[],[],[],0.0,0.0,351.0,37.61809052234445
AA13,20250522,Falco,0,0,10,5,[],[],[],0.0,0.0,381.0,33.53216595345551
