ID,Date,Biomass,CanopyDensity
BP01,20250501,100.5,4.50E-06
BP01,20250503,110.2,5.10E-06
BP01,20250505,120.8,5.80E-06
BP01,20250507,130.0,6.00E-06
BP01,20250509,140.3,6.20E-06
BP01,20250511,150.1,6.50E-06
BP01,20250513,160.0,6.70E-06
BP01,20250515,170.2,7.00E-06
BP01,20250517,180.5,7.20E-06
BP01,20250519,190.0,7.50E-06
BP02,20250501,95.0,4.20E-06
BP02,20250503,102.5,4.60E-06
BP02,20250505,110.0,5.00E-06
BP02,20250507,118.0,5.30E-06
BP02,20250509,125.5,5.60E-06
BP02,20250511,132.0,5.90E-06
BP02,20250513,140.0,6.10E-06
BP02,20250515,148.0,6.40E-06
BP02,20250517,155.5,6.60E-06
BP02,20250519,162.0,6.90E-06
BP03,20250501,105.0,4.70E-06
BP03,20250503,112.0,5.10E-06
BP03,20250505,120.0,5.50E-06
BP03,20250507,127.0,5.80E-06
BP03,20250509,135.0,6.10E-06
BP03,20250511,142.0,6.40E-06
BP03,20250513,150.0,6.70E-06
BP03,20250515,158.0,7.00E-06
BP03,20250517,165.0,7.30E-06
BP03,20250519,172.0,7.60E-06
BP04,20250501,98.0,4.40E-06
BP04,20250503,105.0,4.80E-06
BP04,20250505,112.0,5.20E-06
BP04,20250507,120.0,5.50E-06
BP04,20250509,127.0,5.80E-06
BP04,20250511,135.0,6.10E-06
BP04,20250513,142.0,6.40E-06
BP04,20250515,150.0,6.70E-06
BP04,20250517,158.0,7.00E-06
BP04,20250519,165.0,7.30E-06
BP05,20250501,102.0,4.60E-06
BP05,20250503,110.0,5.00E-06
BP05,20250505,118.0,5.40E-06
BP05,20250507,125.0,5.70E-06
BP05,20250509,132.0,6.00E-06
BP05,20250511,140.0,6.30E-06
BP05,20250513,147.0,6.60E-06
BP05,20250515,155.0,6.90E-06
BP05,20250517,162.0,7.20E-06
BP05,20250519,170.0,7.50E-06
BP06,20250501,97.0,4.30E-06
BP06,20250503,104.0,4.70E-06
BP06,20250505,111.0,5.10E-06
BP06,20250507,119.0,5.40E-06
BP06,20250509,126.0,5.70E-06
BP06,20250511,133.0,6.00E-06
BP06,20250513,141.0,6.30E-06
BP06,20250515,148.0,6.60E-06
BP06,20250517,155.0,6.90E-06
BP06,20250519,162.0,7.20E-06
BP07,20250501,99.0,4.50E-06
BP07,20250503,107.0,4.90E-06
BP07,20250505,115.0,5.30E-06
BP07,20250507,123.0,5.60E-06
BP07,20250509,130.0,5.90E-06
BP07,20250511,138.0,6.20E-06
BP07,20250513,145.0,6.50E-06
BP07,20250515,153.0,6.80E-06
BP07,20250517,160.0,7.10E-06
BP07,20250519,168.0,7.40E-06
BP08,20250501,101.0,4.55E-06
BP08,20250503,109.0,4.95E-06
BP08,20250505,116.0,5.35E-06
BP08,20250507,124.0,5.65E-06
BP08,20250509,131.0,5.95E-06
BP08,20250511,139.0,6.25E-06
BP08,20250513,146.0,6.55E-06
BP08,20250515,154.0,6.85E-06
BP08,20250517,161.0,7.15E-06
BP08,20250519,169.0,7.45E-06
BP09,20250501,103.0,4.65E-06
BP09,20250503,111.0,5.05E-06
BP09,20250505,119.0,5.45E-06
BP09,20250507,127.0,5.75E-06
BP09,20250509,134.0,6.05E-06
BP09,20250511,142.0,6.35E-06
BP09,20250513,149.0,6.65E-06
BP09,20250515,157.0,6.95E-06
BP09,20250517,164.0,7.25E-06
BP09,20250519,172.0,7.55E-06
BP10,20250501,96.0,4.25E-06
BP10,20250503,104.0,4.65E-06
BP10,20250505,112.0,5.05E-06
BP10,20250507,120.0,5.35E-06
BP10,20250509,127.0,5.65E-06
BP10,20250511,134.0,5.95E-06
BP10,20250513,142.0,6.25E-06
BP10,20250515,150.0,6.55E-06
BP10,20250517,157.0,6.85E-06
BP10,20250519,165.0,7.15E-06
