date,plant_code,file_type,extension,file_path
20250506,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250506\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145002614.png
20250506,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250506\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145007933.png
20250506,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250506\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145013406.png
20250506,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250506\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145018895.png
20250506,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250506\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145024397.png
20250506,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250506\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145029836.png
20250516,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250516\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-194600816.png
20250516,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250516\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-194606186.png
20250516,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250516\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-194611499.png
20250516,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250516\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-194616928.png
20250516,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250516\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-194622293.png
20250516,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250516\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-194627731.png
20250518,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250518\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-163647276.png
20250518,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250518\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-163652631.png
20250518,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250518\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-163658093.png
20250518,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250518\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-163703510.png
20250518,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250518\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-163709207.png
20250518,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250518\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-163714986.png
20250520,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250520\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-190828645.png
20250520,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250520\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-190833983.png
20250520,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250520\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-190839469.png
20250520,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250520\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-190844867.png
20250520,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250520\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-190850256.png
20250520,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250520\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-190855589.png
20250522,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250522\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-165529484.png
20250522,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250522\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-165534828.png
20250522,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250522\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-165540338.png
20250522,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250522\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-165545730.png
20250522,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250522\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-165551150.png
20250522,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250522\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-165556573.png
20250524,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250524\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145707645.png
20250524,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250524\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145713186.png
20250524,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250524\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145718705.png
20250524,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250524\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145724090.png
20250524,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250524\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145729598.png
20250524,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250524\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145735026.png
20250526,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250526\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-182626949.png
20250526,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250526\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-182632362.png
20250526,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250526\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-182637706.png
20250526,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250526\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-182643131.png
20250526,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250526\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-182648950.png
20250526,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250526\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-182654911.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2192-094632315.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2192-094640870.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2192-094649301.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2192-094657909.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2192-094706364.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2192-094714948.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145737742.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145743126.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145748638.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145754054.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145759460.png
20250528,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250528\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145804896.png
20250601,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250601\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145731313.png
20250601,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250601\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145736675.png
20250601,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250601\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145742147.png
20250601,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250601\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145747539.png
20250601,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250601\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145753085.png
20250601,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250601\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-145758475.png
20250607,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250607\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-171508921.png
20250607,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250607\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-171514348.png
20250607,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250607\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-171519711.png
20250607,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250607\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-171525147.png
20250607,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250607\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-171530546.png
20250607,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250607\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-171535976.png
20250609,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250609\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-181217385.png
20250609,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250609\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-181222870.png
20250609,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250609\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-181228363.png
20250609,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250609\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-181233729.png
20250609,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250609\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-181239095.png
20250609,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250609\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-181244497.png
20250615,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250615\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-162407167.png
20250615,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250615\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-162412569.png
20250615,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250615\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-162418079.png
20250615,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250615\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-162423517.png
20250615,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250615\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-162429053.png
20250615,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250615\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2170-162434574.png
20250618,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250618\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040014447.png
20250618,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250618\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040019952.png
20250618,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250618\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040025339.png
20250618,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250618\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040030859.png
20250618,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250618\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040036294.png
20250618,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250618\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040041758.png
20250620,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250620\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040658709.png
20250620,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250620\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040704314.png
20250620,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250620\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040709845.png
20250620,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250620\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040715648.png
20250620,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250620\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040721010.png
20250620,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250620\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2171-040726493.png
20250625,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250625\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2214-214141716.png
20250625,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250625\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2214-214147262.png
20250625,AA29,TWO_D,png,E:\Compartment1\SideViewRGB\20250625\NPEC51.20250428.AA29.Florice.31_march.13\SideViewRGB\Processed\137-2214-214152645.png
